카카오위치명,위도,경도,인스타위치명
인어브리즈,35.98757916439094,128.57517010257453,인어브리즈
청남대,36.46283675580537,127.49184005223273,충청북도 청주
낭만짚불구이,37.500360353472395,127.02851455386134,낭만짚불구이
하우스도산,37.525365775581726,127.03568053926668,하우스도산 HAUS DOSAN
이정웅 스페이스,37.6892119069788,127.387524053302,이정웅스페이스
공극샌드,35.1845336343225,129.213145858533,"공극,샌드커피"
두넛샵,37.5272848170027,127.035986906427,두넛샵
을지로3가역 2호선,37.56629149790628,126.99098443539428,을지로 3가
플라워바이네이키드 홍대,37.5576149699915,126.926625327774,플라워바이네이키드
만리포바다풍경펜션,36.79495325122143,126.14635970317063,만리포 바다 앞
표정,37.5626725050934,126.92557001799,표정
은파호수공원,35.9554220721501,126.689894783549,은파호수공원
난지캠핑장,37.5699951008368,126.872166235201,캠핑장
부평문화의거리,37.4941629743516,126.724277577653,부평
논현가구거리,37.5124049314709,127.024779773951,강남논현동
모크,37.549401848694814,126.92159983630775,모크
커먼비,36.2735519713727,127.269128886175,커먼비
서울숲,37.5443222301513,127.037617759165,서울숲
부산시민공원,35.1683562959139,129.057403818219,부산시민공원
듀코비다이너,35.154306947485765,129.06451345020173,듀코비 다이너
청년문화공간JU 동교동,37.5572739922994,126.923162473573,홍대입구 청년문화공간ju동교동
윤형빈소극장 홍대점,37.5521342054393,126.922402732682,윤형빈 소극장
광주패밀리랜드,35.22431406471364,126.89424238616951,광주
신논현역 9호선,37.504811111562,127.025492036104,신논현
상수역 6호선,37.54776618366393,126.92242989321456,상수역
흰여울문화마을,35.077914827298564,129.04528136992104,영도
갈남항,37.2809330415566,129.325010477226,강원도 삼척 갈남항
카페쿠잉롤,35.323021201934246,126.9850090130974,쿠잉롤
한국엔드레스하우저 여수지사,34.76544238618839,127.63720056876193,"Yeosu, Korea"
카페하이,36.60756217478815,127.45082394954407,카페하이
봄,37.41591513099226,126.982705353524,봄
부천역북부광장,37.4847055335107,126.782781176409,경기도 부천
피스피스 연남점,37.5660796002912,126.922046437335,피스피스 연남
하이엔드제주,33.46359065428745,126.30917383944714,하이엔드 제주
데생플래닛,37.5601268871474,126.920945735146,Dessin Planet 데생플래닛
달세뇨,37.5637565665361,126.918974728929,달세뇨
화개장터벚꽃축제,35.1915955572299,127.62453251188,하동 화개장터 벚꽃길
협재해수욕장,33.3938660776221,126.239157539085,협재해수욕장
에이스포클럽,37.5664382420232,126.989550300605,Acefourclub
메가박스 홍대,37.55604249793133,126.92204557664462,메가박스홍대
엠케이알커피,34.52565322895014,127.13572318979651,Mkr coffee
삼송1957,35.8253442140597,128.624506143005,삼송1957
엔제리너스 미아삼거리역점,37.6134376270873,127.030906711388,미아삼거리 엔제리너스
태화강국가정원,35.5480699197143,129.297046216516,태화강국가정원
테이블에이 본점,37.55405959380823,126.92951694368689,홍대 테이블에이
댕댕이하우스,37.5474660181405,127.044784711424,댕댕이하우스
요코쵸,37.5653219290818,126.923525465661,요코쵸
